iteration,individual,obj_0
205,5,4.003875968992248
205,8,4.003875968992248
206,1,4.003875968992248
206,3,4.003875968992248
206,4,4.003875968992248
206,5,4.003875968992248
207,2,7.003875968992248
207,8,7.003875968992248
208,1,4.003875968992248
208,2,4.003875968992248
208,4,4.003875968992248
208,5,4.003875968992248
208,9,4.003875968992248
209,6,7.003875968992248
210,0,1.003875968992248
210,1,1.003875968992248
210,2,1.003875968992248
210,3,1.003875968992248
210,4,1.003875968992248
210,5,1.003875968992248
210,6,1.003875968992248
210,7,1.003875968992248
210,8,1.003875968992248
210,9,1.003875968992248
211,6,4.003875968992248
211,8,4.003875968992248
212,1,4.003875968992248
212,4,4.003875968992248
212,8,4.003875968992248
213,6,4.003875968992248
213,7,4.003875968992248
214,2,4.003875968992248
214,4,4.003875968992248
215,0,4.003875968992248
215,3,4.003875968992248
215,4,4.003875968992248
215,5,4.003875968992248
215,6,4.003875968992248
215,7,4.003875968992248
216,6,7.003875968992248
217,2,4.003875968992248
217,3,4.003875968992248
217,5,4.003875968992248
217,6,4.003875968992248
218,2,7.003875968992248
219,1,4.003875968992248
219,7,4.003875968992248
219,9,4.003875968992248
220,2,7.003875968992248
220,8,7.003875968992248
220,9,7.003875968992248
221,4,7.003875968992248
222,0,4.003875968992248
222,2,4.003875968992248
222,3,4.003875968992248
222,9,4.003875968992248
223,0,4.003875968992248
223,2,4.003875968992248
223,8,4.003875968992248
223,9,4.003875968992248
224,1,7.003875968992248
224,3,7.003875968992248
225,3,4.003875968992248
225,5,4.003875968992248
226,1,8.003875968992247
227,5,7.003875968992248
227,6,7.003875968992248
228,0,4.003875968992248
228,8,4.003875968992248
229,3,4.003875968992248
229,8,4.003875968992248
230,0,4.003875968992248
230,4,4.003875968992248
230,5,4.003875968992248
231,7,10.003875968992247
232,5,7.003875968992248
233,1,4.003875968992248
233,7,4.003875968992248
233,9,4.003875968992248
234,6,4.003875968992248
234,8,4.003875968992248
234,9,4.003875968992248
235,1,4.003875968992248
235,3,4.003875968992248
235,5,4.003875968992248
235,6,4.003875968992248
235,9,4.003875968992248
236,2,4.003875968992248
236,3,4.003875968992248
236,7,4.003875968992248
237,0,7.003875968992248
237,8,7.003875968992248
238,1,7.003875968992248
238,7,7.003875968992248
239,5,7.003875968992248
239,8,7.003875968992248
240,0,4.003875968992248
240,1,4.003875968992248
240,2,4.003875968992248
240,4,4.003875968992248
240,5,4.003875968992248
240,8,4.003875968992248
240,9,4.003875968992248
241,0,4.003875968992248
241,3,4.003875968992248
241,4,4.003875968992248
242,7,7.003875968992248
242,9,7.003875968992248
243,4,7.003875968992248
244,2,7.003875968992248
244,7,7.003875968992248
244,9,7.003875968992248
245,0,7.003875968992248
246,2,4.003875968992248
246,5,4.003875968992248
247,1,7.003875968992248
247,2,7.003875968992248
247,4,7.003875968992248
248,1,4.003875968992248
248,5,4.003875968992248
248,6,4.003875968992248
248,7,4.003875968992248
248,8,4.003875968992248
248,9,4.003875968992248
249,0,7.003875968992248
249,8,7.003875968992248
250,9,10.003875968992247
251,1,4.003875968992248
251,2,4.003875968992248
251,3,4.003875968992248
251,4,4.003875968992248
251,5,4.003875968992248
251,7,4.003875968992248
252,6,10.003875968992247
253,1,4.003875968992248
253,2,4.003875968992248
253,3,4.003875968992248
253,4,4.003875968992248
253,5,4.003875968992248
253,6,4.003875968992248
253,9,4.003875968992248
254,0,7.003875968992248
254,5,7.003875968992248
255,7,4.003875968992248
255,8,4.003875968992248
256,9,7.003875968992248
257,1,7.003875968992248
257,3,7.003875968992248
257,8,7.003875968992248
258,2,4.003875968992248
258,3,4.003875968992248
258,5,4.003875968992248
259,0,4.003875968992248
259,2,4.003875968992248
259,8,4.003875968992248
259,9,4.003875968992248
260,0,7.003875968992248
261,4,10.003875968992247
262,1,4.003875968992248
262,2,4.003875968992248
262,5,4.003875968992248
262,7,4.003875968992248
263,6,7.003875968992248
263,8,7.003875968992248
264,0,13.003875968992247
265,7,7.003875968992248
266,1,4.003875968992248
266,3,4.003875968992248
266,7,4.003875968992248
266,8,4.003875968992248
266,9,4.003875968992248
267,1,4.003875968992248
267,4,4.003875968992248
268,7,7.003875968992248
269,2,7.003875968992248
270,2,7.003875968992248
271,8,7.003875968992248
272,8,10.003875968992247
273,3,8.003875968992247
274,1,7.003875968992248
275,4,7.003875968992248
276,3,7.003875968992248
276,8,7.003875968992248
277,0,8.003875968992247
278,2,10.003875968992247
279,1,4.003875968992248
279,2,4.003875968992248
279,5,4.003875968992248
279,7,4.003875968992248
279,8,4.003875968992248
280,1,10.003875968992247
281,1,7.003875968992248
282,1,7.003875968992248
282,8,7.003875968992248
283,9,7.003875968992248
284,4,10.003875968992247
285,2,10.003875968992247
285,7,10.003875968992247
286,8,11.003875968992247
287,0,10.003875968992247
288,7,10.003875968992247
289,1,7.003875968992248
289,6,7.003875968992248
289,7,7.003875968992248
290,0,16.003875968992247
291,0,7.003875968992248
291,2,7.003875968992248
291,7,7.003875968992248
291,8,7.003875968992248
292,0,4.003875968992248
292,4,4.003875968992248
292,7,4.003875968992248
292,8,4.003875968992248
293,2,4.003875968992248
294,8,7.003875968992248
295,9,13.003875968992247
296,0,4.003875968992248
296,1,4.003875968992248
296,3,4.003875968992248
296,4,4.003875968992248
296,7,4.003875968992248
296,8,4.003875968992248
297,3,7.003875968992248
297,6,7.003875968992248
298,8,10.003875968992247
299,8,10.003875968992247
300,4,8.003875968992247
301,1,7.003875968992248
301,5,7.003875968992248
301,7,7.003875968992248
302,8,7.003875968992248
303,2,7.003875968992248
303,3,7.003875968992248
303,9,7.003875968992248
304,6,4.003875968992248
304,7,4.003875968992248
305,7,10.003875968992247
306,2,4.003875968992248
306,4,4.003875968992248
306,8,4.003875968992248
307,9,13.003875968992247
308,7,13.003875968992247
309,3,7.003875968992248
310,1,4.003875968992248
310,5,4.003875968992248
310,9,4.003875968992248
311,1,4.003875968992248
311,2,4.003875968992248
311,4,4.003875968992248
311,6,4.003875968992248
312,2,7.003875968992248
312,5,7.003875968992248
312,8,7.003875968992248
313,7,7.003875968992248
314,3,4.003875968992248
314,5,4.003875968992248
314,9,4.003875968992248
315,0,7.003875968992248
316,0,13.003875968992247
317,0,4.003875968992248
317,1,4.003875968992248
317,6,4.003875968992248
317,8,4.003875968992248
317,9,4.003875968992248
318,8,10.003875968992247
319,0,5.003875968992248
319,2,5.003875968992248
320,2,10.003875968992247
321,0,7.003875968992248
322,2,4.003875968992248
322,7,4.003875968992248
323,2,4.003875968992248
323,8,4.003875968992248
324,7,4.003875968992248
324,8,4.003875968992248
324,9,4.003875968992248
325,7,7.003875968992248
326,3,7.003875968992248
327,2,7.003875968992248
328,2,7.003875968992248
329,0,4.003875968992248
329,1,4.003875968992248
329,3,4.003875968992248
329,5,4.003875968992248
330,0,4.003875968992248
330,5,4.003875968992248
330,7,4.003875968992248
330,8,4.003875968992248
330,9,4.003875968992248
331,5,4.003875968992248
331,7,4.003875968992248
331,9,4.003875968992248
332,4,7.003875968992248
332,5,7.003875968992248
333,0,4.003875968992248
333,1,4.003875968992248
333,2,4.003875968992248
333,3,4.003875968992248
333,5,4.003875968992248
334,5,10.003875968992247
335,8,10.003875968992247
336,0,7.003875968992248
336,6,7.003875968992248
337,5,7.003875968992248
338,3,7.003875968992248
338,5,7.003875968992248
338,6,7.003875968992248
339,1,7.003875968992248
339,3,7.003875968992248
339,6,7.003875968992248
340,2,10.003875968992247
341,7,10.003875968992247
342,1,13.003875968992247
343,1,7.003875968992248
343,2,7.003875968992248
343,6,7.003875968992248
344,5,16.003875968992247
345,0,7.003875968992248
345,3,7.003875968992248
345,9,7.003875968992248
346,3,10.003875968992247
347,2,10.003875968992247
347,6,10.003875968992247
348,5,10.003875968992247
349,3,7.003875968992248
349,6,7.003875968992248
349,8,7.003875968992248
350,1,7.003875968992248
350,4,7.003875968992248
351,6,7.003875968992248
352,3,7.003875968992248
352,5,7.003875968992248
352,6,7.003875968992248
353,0,10.003875968992247
353,1,10.003875968992247
354,3,7.003875968992248
354,8,7.003875968992248
355,7,10.003875968992247
356,0,7.003875968992248
357,9,7.003875968992248
358,2,10.003875968992247
359,0,7.003875968992248
359,2,7.003875968992248
360,0,7.003875968992248
360,5,7.003875968992248
361,0,10.003875968992247
361,9,10.003875968992247
362,6,7.003875968992248
363,6,10.003875968992247
363,7,10.003875968992247
364,4,7.003875968992248
365,5,10.003875968992247
366,6,10.003875968992247
367,2,7.003875968992248
367,3,7.003875968992248
368,3,7.003875968992248
368,6,7.003875968992248
369,5,13.003875968992247
369,6,13.003875968992247
370,1,10.003875968992247
371,3,7.003875968992248
371,7,7.003875968992248
371,8,7.003875968992248
372,7,10.003875968992247
373,4,13.003875968992247
374,0,7.003875968992248
374,6,7.003875968992248
374,8,7.003875968992248
375,6,10.003875968992247
376,2,13.003875968992247
377,2,7.003875968992248
377,4,7.003875968992248
378,1,7.003875968992248
378,3,7.003875968992248
378,6,7.003875968992248
378,9,7.003875968992248
379,4,10.003875968992247
380,1,10.003875968992247
381,4,7.003875968992248
381,7,7.003875968992248
381,8,7.003875968992248
382,6,7.003875968992248
383,1,7.003875968992248
383,3,7.003875968992248
383,8,7.003875968992248
384,7,7.003875968992248
385,0,13.003875968992247
386,5,10.003875968992247
387,2,10.003875968992247
388,3,10.003875968992247
389,1,7.003875968992248
389,6,7.003875968992248
389,7,7.003875968992248
390,0,7.003875968992248
390,1,7.003875968992248
390,8,7.003875968992248
391,7,13.003875968992247
392,8,10.003875968992247
393,0,7.003875968992248
393,6,7.003875968992248
394,6,10.003875968992247
395,5,7.003875968992248
395,6,7.003875968992248
396,4,4.003875968992248
396,5,4.003875968992248
396,6,4.003875968992248
396,8,4.003875968992248
396,9,4.003875968992248
397,5,10.003875968992247
398,2,7.003875968992248
398,5,7.003875968992248
398,6,7.003875968992248
398,7,7.003875968992248
398,9,7.003875968992248
399,3,7.003875968992248
400,0,7.003875968992248
400,2,7.003875968992248
401,2,10.003875968992247
402,1,13.003875968992247
403,4,10.003875968992247
403,6,10.003875968992247
404,3,10.003875968992247
404,4,10.003875968992247
405,4,10.003875968992247
406,5,10.003875968992247
407,3,7.003875968992248
407,9,7.003875968992248
408,2,10.003875968992247
409,7,10.003875968992247
410,4,13.003875968992247
410,6,13.003875968992247
411,5,13.003875968992247
412,6,10.003875968992247
412,8,10.003875968992247
413,0,16.003875968992247
414,0,10.003875968992247
415,4,7.003875968992248
415,6,7.003875968992248
416,3,10.003875968992247
416,7,10.003875968992247
417,0,10.003875968992247
418,6,25.003875968992247
419,3,13.003875968992247
420,3,13.003875968992247
420,9,13.003875968992247
421,0,10.003875968992247
421,1,10.003875968992247
421,4,10.003875968992247
422,8,13.003875968992247
423,5,7.003875968992248
424,0,7.003875968992248
424,5,7.003875968992248
424,7,7.003875968992248
425,5,7.003875968992248
426,5,10.003875968992247
427,1,7.003875968992248
427,2,7.003875968992248
427,6,7.003875968992248
427,8,7.003875968992248
428,7,10.003875968992247
429,3,7.003875968992248
430,0,7.003875968992248
430,4,7.003875968992248
430,7,7.003875968992248
430,8,7.003875968992248
431,2,10.003875968992247
432,6,10.003875968992247
433,7,10.003875968992247
434,2,7.003875968992248
435,1,7.003875968992248
435,8,7.003875968992248
436,0,7.003875968992248
436,3,7.003875968992248
436,8,7.003875968992248
437,1,7.003875968992248
437,3,7.003875968992248
437,5,7.003875968992248
438,0,4.003875968992248
438,2,4.003875968992248
438,5,4.003875968992248
438,6,4.003875968992248
438,8,4.003875968992248
439,5,10.003875968992247
440,7,10.003875968992247
441,2,10.003875968992247
442,2,10.003875968992247
443,1,7.003875968992248
443,4,7.003875968992248
444,4,10.003875968992247
445,2,7.003875968992248
445,9,7.003875968992248
446,2,13.003875968992247
447,5,10.003875968992247
448,1,10.003875968992247
449,2,7.003875968992248
450,0,4.003875968992248
450,5,4.003875968992248
450,8,4.003875968992248
450,9,4.003875968992248
451,1,7.003875968992248
451,4,7.003875968992248
452,4,10.003875968992247
453,6,10.003875968992247
454,1,7.003875968992248
454,4,7.003875968992248
454,5,7.003875968992248
454,6,7.003875968992248
454,9,7.003875968992248
455,0,10.003875968992247
455,2,10.003875968992247
456,1,7.003875968992248
457,1,13.003875968992247
458,0,10.003875968992247
459,1,16.003875968992247
460,2,7.003875968992248
460,3,7.003875968992248
460,4,7.003875968992248
460,6,7.003875968992248
461,8,13.003875968992247
462,2,7.003875968992248
462,5,7.003875968992248
463,4,7.003875968992248
463,5,7.003875968992248
463,6,7.003875968992248
464,1,7.003875968992248
465,5,13.003875968992247
466,0,7.003875968992248
466,6,7.003875968992248
467,0,7.003875968992248
467,3,7.003875968992248
468,1,7.003875968992248
468,6,7.003875968992248
468,7,7.003875968992248
468,9,7.003875968992248
469,2,7.003875968992248
469,3,7.003875968992248
469,5,7.003875968992248
469,6,7.003875968992248
470,1,7.003875968992248
470,2,7.003875968992248
470,4,7.003875968992248
471,1,7.003875968992248
471,8,7.003875968992248
471,9,7.003875968992248
472,2,7.003875968992248
472,4,7.003875968992248
472,7,7.003875968992248
473,2,13.003875968992247
474,3,10.003875968992247
475,5,7.003875968992248
475,6,7.003875968992248
475,8,7.003875968992248
476,0,7.003875968992248
476,1,7.003875968992248
476,6,7.003875968992248
476,8,7.003875968992248
477,7,16.003875968992247
478,1,4.003875968992248
478,4,4.003875968992248
478,5,4.003875968992248
478,8,4.003875968992248
479,4,7.003875968992248
479,5,7.003875968992248
480,8,10.003875968992247
481,2,7.003875968992248
481,3,7.003875968992248
481,4,7.003875968992248
482,1,7.003875968992248
482,7,7.003875968992248
483,6,10.003875968992247
484,4,10.003875968992247
484,6,10.003875968992247
485,9,10.003875968992247
486,4,7.003875968992248
486,5,7.003875968992248
486,6,7.003875968992248
486,8,7.003875968992248
487,2,7.003875968992248
487,6,7.003875968992248
488,9,10.003875968992247
489,4,7.003875968992248
489,6,7.003875968992248
489,8,7.003875968992248
490,5,10.003875968992247
491,8,10.003875968992247
492,9,13.003875968992247
493,0,7.003875968992248
493,4,7.003875968992248
493,5,7.003875968992248
494,1,10.003875968992247
495,0,7.003875968992248
495,1,7.003875968992248
495,2,7.003875968992248
495,8,7.003875968992248
495,9,7.003875968992248
496,5,13.003875968992247
